bcodmoid,name,shortname,definition,date
BCODMO/591,CTD Sea-Bird SBE 911plus,,"The Sea-Bird SBE 911plus is a type of CTD instrument package for continuous measurement of conductivity, temperature and pressure.  The SBE 911plus includes the SBE 9plus Underwater Unit and the SBE 11plus Deck Unit (for real-time readout using conductive wire) for deployment from a vessel. The combination of the SBE 9plus and SBE 11plus is called a SBE 911plus.  The SBE 9plus uses Sea-Bird's standard modular temperature and conductivity sensors (SBE 3plus and SBE 4). The SBE 9plus CTD can be configured with up to eight auxiliary sensors to measure other parameters including dissolved oxygen, pH, turbidity, fluorescence, light (PAR), light transmission, etc.). <a href=""http://www.seabird.com/"">more information from Sea-Bird Electronics</a> ",2/4/14
BCODMO/592,Wet Labs ECO-AFL/FL Fluorometer,,"The Environmental Characterization Optics (ECO) series of single channel fluorometers delivers both high resolution and wide ranges across the entire line of parameters using 14 bit digital processing. The ECO series excels in biological monitoring and dye trace studies. The potted optics block results in long term stability of the instrument and the optional anti-biofouling technology delivers truly long term field measurements.<br /><a href=""http://www.wetlabs.com/"">more information from Wet Labs</a>",2/4/14
BCODMO/593,Wet Labs CSTAR Transmissometer,,"A highly integrated opto-electronic design to provide a low cost, compact solution for underwater measurements of beam transmittance. The instrument is capable of either free space measurements, or through the use of an optical flow tube, flow-through sampling with a pump. It can be used in profiling, moored, or underway applications. <a href=""http://www.wetlabs.com/"">more information from Wet Labs</a> ",2/4/14
BCODMO/594,WP-2 Plankton Net,,"The WP-2 net is a variety of Ring Net for zooplankton but which is capable of being closed by means of a Nansen bottle-type release messenger weighing 0.8 kg and which can be equipped with a digital flow meter for determining the amount of water passing through the plankton net.  The rings may have a variety of sizes (57cm, 70cm, 75 cm, or 1m internal diameter) and the nets which make up this device are in two parts, a cylindrical upper part and a conical lower part.  The closing ring is between the two net segments. (more at <a href=""http://www.kc-denmark.dk/public_html/p28.htm"">KC Denmark</a>)",2/4/14
BCODMO/595,UV Spectrophotometer-Shimadzu,,The Shimadzu UV Spectrophotometer is manufactured by Shimadzu Scientific Instruments (ssi.shimadzu.com).  No other information could be found.,2/4/14
BCODMO/596,Multiple Instrument Data Acquisition System,,"<a href=""http://bcodata.whoi.edu/NGOMEX/MIDAS_System_Pelican.pdf"">MIDAS System</a><br />",2/4/14
BCODMO/597,Niskin-1010X,,"The Model 1010X NISKIN-X External Spring Niskin Water Sampler is a Niskin water sample bottle with the stainless steel closure springs mounted externally.  The external closure mechanism is designed to support applications such as trace metal analysis where the inside of the sampler must be totally free of contaminants.  The 1010X Niskin bottle, manufactured by General Oceanics Inc., is available in a variety of sizes (sample volume).  It can be activated by the GO Devil Messenger (1000-MG) if individually or serially attached to a hydrocable or can be deployed as part of a Rosette multibottle array.  The bottles can be teflon-lined and are available as GO-FLO bottles to further avoid sample contamination.  (more from <a href=""http://www.generaloceanics.com/"">General Oceanics</a>)",2/4/14
BCODMO/598,Raised footrope whiting trawl,,The raised footrope whiting (or hake) trawl is a trawl with a specially designed spiny dogfish excluder grate within the extension of a silver hake (whiting) trawl net. ,2/4/14
BCODMO/599,Seapoint Turbidity Meter,,"The Seapoint Turbidity Meter detects light scattered by particles suspended in water, generating an output voltage proportional to turbidity or suspended solids.",2/4/14
BCODMO/600,WETStar CDOM Fluorometer,,The WETStar CDOM fluorometer measuring fluorescence as a proxy for dissolved matter absorption. ,2/4/14
BCODMO/601,WETStar ECO FLNTU,,"The ECO FLNTU is a dual-wavelength, single-angle sensor for simultaneously determining both chlorophyll fluorescence and turbidity.",2/4/14
BCODMO/602,Cary 50 spectrophotometer ,,A Cary 50 spectrophotometer measures absorbance (200-800 nm). ,2/4/14
BCODMO/603,Shimadzu TOC-V Analyzer,,A Shimadzu TOC-V Analyzer measures DOC by high temperature combustion method.,2/4/14
BCODMO/604,towed undulating vehicle,,A towed undulating vehicle is a generic class of instruments.  See the data set specific information for a detailed description. These are often prototype instrument packages designed to make very specific measurements.,2/4/14
BCODMO/605,Underwater Vision Profiler,,"A description of the UVP instrument can be found in the following publication: Picheral, M., L. Guidi, L. Stemmann, D. M. Karl, G. Iddaoud, and G. Gorsky. 2010.  The Underwater Vision Profiler 5: An advanced instrument for high spatial resolution studies of particle size spectra and zooplankton. Limnol. Oceanogr. Meth. 8: 462-473. (access the PDF at URL: <a href=""http://cmore.soest.hawaii.edu/cmoredata/LMO/Guidi/Picheral_2010.pdf"">http://cmore.soest.hawaii.edu/cmoredata/LMO/Guidi/Picheral_2010.pdf</a>)",2/4/14
BCODMO/606,Spectrophotomer-Varian Cary 50UV,,The Varian Cary 50 UV-Visible Spectrophotometer has a xenon flash lamp and a 1.5nm slit width for measurement of total particulate absorption spectra.,2/4/14
BCODMO/607,Sensor Data 6000 Current Meter,,"The Model SD-6000 MINI current meter is a vector averaging field current meter with recording capacity for up to 6,000 measurements of current speed, direction and temperature. The instrument can be programmed to carry out measurements at given intervals from each minute to each 3 hour via PC or by holding a magnet outside marked points on the instrument.Information is communicated to and from SD-6000 via an infra-red emitter/photodiode pair mounted inside the instrument's transparent top cap. An optoconverter (SD-40) which is positioned over the instrument top cap during communication with a PC converts optosignals to standard RS-232. Download of data to a PC takes a maximum 30 seconds after which data can be immediately processed and displayed. SD-6000 can also be used as a remote monitoring instrument supplying data in real time via a cable.",2/4/14
BCODMO/608,WetLabs FLNTU,,"The WetLabs ECO FLNTU is a dual-wavelength, single-angle sensor for simultaneously determining both chlorophyll fluorescence and turbidity.  It detects light scattered by particles suspended in water, generating an output voltage proportional to turbidity or suspended solids.  Scaling factors are used to convert the voltage readings to values representing chlorophyll concentration and turbidity expressed in Nephelometric Turbidity Units (NTUs).",2/4/14
BCODMO/609,Secchi Disc,,"Typically, a 16 inch diameter white/black quadrant disc used to measure water optical clarity",2/4/14
BCODMO/610,Atmospheric Sampling Mast,,Atmospheric Sampling Mast - used to collect airborne samples for analysis such as in aerosol studies.,2/4/14
BCODMO/611,Seaglider,,"The Seaglider is an autonomous underwater vehicle developed through a collaboration between The Applied Physics Laboraty -University of Washington and the University of Washington  School of Oceanography.  These small, free-swimming vehicles can gather conductivity-temperature-depth (CTD) data from the ocean for months at a  time and transmit it to shore in near-real time via satellite data  telemetry. Seagliders make oceanographic measurements  traditionally collected by research vessels or moored instruments.  They can survey along a transect, profile at a fixed location, and can be commanded to alter their sampling strategies throughout a mission. ",2/4/14
BCODMO/612,Druck PDCR 4020 pressure sensor,,The PDCR 4000 Series provides a complete range of mV output pressure transducers offering advanced levels of measurement accuracy stability and flexibility from a standard production device.,2/4/14
BCODMO/613,Wet Labs ECO Puck BB2F-VMG,,"The ECO BB measures scattering at 117 degrees, the angle determined as a minimum convergence point for variations in the volume scattering function (VSF) induced by suspended materials and water itself. As a result, the signal measured by this meter is less determined by the type and size of the materials in the water and is more directly correlated to the concentration of the materials. Conversely, the meter provides unparalleled accuracy for any single-angle measurement in determining the optical backscattering coefficient: an important parameter for remote sensing and in many in-water bio-optical applications. ",2/4/14
BCODMO/614,Lagrangian Float,,"Built at the University of Washington Applied Physics Laboratory, the Lagrangian Float is not an ARGO float. It is primarily designed to accurately follow the three-dimensional motion of water parcels within the mixed layer, through a combination of neutral buoyancy and high drag provided by a one meter diameter black drogue. Typical buoyancies of a few grams result in vertical velocities relative to the water of a few mm/s, small compared to the cm/s turbulent velocities in the mixed layer. The floats motion within the mixed layer thus closely imitates that of a planktonic organism.  The float can also profile vertically.  It sends data and receives commands using the Iridium satellite system. The float is designed to accommodate a wide variety of sensors.",2/4/14
BCODMO/615,CTD Sea-Bird 41,,"The Sea-Bird SBE 41 CTD module was originally developed in 1997 for integration with sub-surface oceanographic floats. It uses MicroCAT Temperature, Conductivity, and Pressure sensors.",2/4/14
BCODMO/616,Hyperspectral Radiometer TriOS ARC ,,TriOS ARC Hyperspectral Radiometer Sensor ,2/4/14
BCODMO/617,Hyperspectral Radiometer TriOS ACC,,TriOS ACC Hyperspectral Radiometer Sensor ,2/4/14
BCODMO/618,ISUS Nitrate sensor,,"The Satlantic ISUS nitrate sensor is an in-situ UV absorption sensor which calculates nitrate concentration  from the seawater spectrum. The ISUS V2  has a 1cm path length, a 200-400 nm  wavelength range., and is depth rated to 1000 m. Satlantic's ISUS V3 nitrate sensor uses advanced UV absorption technology to measure  nitrate concentration in real-time.",2/4/14
BCODMO/619,Pump surface,,"A source of uncontaminated near-surface seawater pumped onto the deck of the research vessel that can be sampled and analyzed. This pumped seawater supply is from an over-the-side pumping system, and is therefore different from the vessel underway seawater system.",2/4/14
BCODMO/620,CTD TRIAXUS,,"Sea-bird SBE 9 pumped CTD attached to the Triaxus towed undulating platform. The Triaxus towed undulating vehicle, designed and manufactured by MacArtney, achieves high resolution 3-dimensional surveys of the upper 180m of the water column. The standard sensor package includes a Seabird CTD (with optional secondary C and T sensors), transmissometer, dissolved oxygen, chlorophyll fluorometer, and PAR sensor. In addition to this basic configuration, Triaxus can accommodate up to 9 additional sensor packages / sensors. See <a href=""http://www.macartney.com/systems/remote-technology/triaxus"">http://www.macartney.com/systems/remote-technology/triaxus</a>.",2/4/14
BCODMO/621,Otter Trawl,,"Otter trawls have large rectangular otter boards  which are used to keep the mouth of the trawl net open. Otter boards  are made of timber or steel and are positioned in such a way that the  hydrodynamic forces, acting on them when the net is towed along the  seabed, pushes them outwards and prevents the mouth of the net from  closing. The speed  that the trawl is towed at depends on the swimming speed of the species  which is being targeted and the exact gear that is being used, but for  most demersal species, a speed of around 4 knots (7 km/h) is appropriate. More:<i> <a href=""http://en.wikipedia.org/wiki/Bottom_trawling"">http://en.wikipedia.org/wiki/Bottom_trawling</a></i> ",2/4/14
BCODMO/622,Split-Beam Echosounder,,"""The split-beam echosounder has a transducer which is divided into four quadrants.The target direction is determined by comparing the signals received by each quadrant... The transmission pulse is applied to the whole transducer but the signals received by each quadrant are processed separately...The target strength is estimated from the transducer sensitivity in the relevant direction, namely the beam pattern and the on-axis sensitivity.""  From ""Fisheries Acoustics: Theory and Practice"" by E. John Simmonds, D. N. MacLennan, Wiley-Blackwell; 2 edition.",2/4/14
BCODMO/623,Optical Plankton Counter,,"An OPC provides quantitative measurements of abundance and sizes of mesozooplankton ranging between approximately 0.25 and 14 mm in Equivalent Spherical Diameter (ESD), and has the capability to integrate measurements from other sensors such as a CTD, fluorometer and Global Positioning System (GPS). It can be deployed on a variety of instruments such as SeaSoar, Aries, Scanfish, MOCNESS, a bongo net or simple towing frame. The data from an OPC are typically transmitted to a data acquisition computer through two conducting wires in a towing cable at real time, but it can also be modified to have an internal memory. Large amounts of data are produced. The procedures employed by OPC users vary from; i) estimating integrated biomass by integrating the OPC size distributions, ii) comparing size distributions between OPC and net samples, and iii) simply isolating a size region in the OPC size distribution which correspond solely to specific taxa, eg. Calanus spp..</p><p>from: Zhou, M., Tande, K., 2002. Optical Plankton Counter Workshop. GLOBEC Report 17, University of Tromso, Tromso",2/4/14
BCODMO/624,Liquid Scintillation Counter,,"Liquid scintillation counting is an analytical technique which is defined by the incorporation of the radiolabeled analyte into uniform distribution with a liquid chemical medium capable of converting the kinetic energy of nuclear emissions into light energy. Although the liquid scintillation counter is a sophisticated laboratory counting system used the quantify the activity of particulate emitting ( and a) radioactive samples, it can also detect the auger electrons emitted from 51Cr and 125I samples.",2/4/14
BCODMO/625,CHN Elemental Analyzer,,"A CHN Elemental Analyzer is used for the determination of carbon, hydrogen, and  nitrogen content in organic and other types of materials, including  solids, liquids, volatile, and viscous samples.  ",2/4/14
BCODMO/627,McLane Pump,,"McLane pumps sample large volumes of seawater at depth. They are attached to a wire and lowered to different depths in the ocean. As the water is pumped through the filter, particles suspended in the ocean are collected on the filters. The pumps are then retrieved and the contents of the filters are analyzed in a lab.",2/4/14
BCODMO/628,Tracer Injection Sled,,"The tracer injection sled is an integrated instrument package that is deployed from a vessel and lowered to the target  potential density surface and then towed along that surface at 0.5 m/s while the tracer is injected. The sled is neutrally buoyant and is towed at  the end of a 2-meter tether attached to the end of the CTD  cable, which removes  much of the ship motion. To follow lower   frequency displacements of the target surface, the winch is controlled   automatically with feedback from a SeaBird 911plus  CTD system (Ledwell <em>et al</em>.,  1998).The  CTD has dual pumped C/T sensors mounted at the front of  the sled to sample  water not perturbed by the thermal wake of the sled. A WET Labs fluorometer is also present along with mounted  injection orifices, pumps, batteries, fluid  reservoirs, and control electronics for the injection. ",2/4/14
BCODMO/629,Satlantic Micro-profiler II,,"The Satlantic Micro-Profiler II is a type of profiling  radiometer system. The primary optical measurements are downwelling irradiance (Ed) and upwelling radiance (Lu).The Micro-Pro collects measurements in the following wavelengths: 305, 325, 340, 380, 412, 443, 490, 510, 555, 665, and 683.  (Note the additional UV channel).  ",2/4/14
BCODMO/630,SeaWiFS Profiling Multi-Channel Radiometer,,"The SeaWiFS Profiling Multi-Channel Radiometer (SPMR) is a free-falling instrument that is equipped with two sensors, collecting the upwelling irradiance (Ed) and downwelling (Lu) radiance at the following 11 wavelengths: 324, 340, 380, 412, 443, 490, 510, 555, 565, 665, and 683nm. The unit is protected in a long case that contains the majority of the system's electronics, while the optical sensors are located at either end of the case and face in opposite directions (i.e., up and down). These sensors measure the irradiance in units of uW/cm2/nm and the radiance in units of uW/cm2/nm/sr.  Tilt and pressure are recorded at the same frequency as the irradiance measurements (6Hz). The SPMR is accompanied by a deck reference sensor, called the SeaWiFS Multichannel Surface Reference (SMSR). This sensor is equipped with the same 11 wavelengths as the SPMR, and is based on the same electronics. Data acquisition is synchronized between the SPMR and the SMSR and is performed at the same (6Hz) frequency. ",2/4/14
BCODMO/631,Laser Optical Plankton Counter ,,Laser Optical Plankton Counter (LOPC) ,2/4/14
BCODMO/632,Neutrally Buoyant Sediment Trap,,"In general, sediment traps are specially designed containers deployed in the water  column for periods of time to collect particles from the water column  falling toward the sea floor. The Neutrally Buoyant Sediment Trap (NBST) was designed by researchers at Woods Hole Oceanographic Institution. The central cylinder of the NBST controls buoyancy and houses a satellite transmitter. The other tubes collect sediment as the trap drifts in currents at a predetermined depth. The samples are collected when the tubes snap shut before the trap returns to the surface. (more: <a href=""http://www.whoi.edu/instruments/viewInstrument.do?id=10286"">http://www.whoi.edu/instruments/viewInstrument.do?id=10286</a>) ",2/4/14
BCODMO/633,Surface Tethered Clap Trap,,"The ""Clap Trap"" is a surface tethered type of sediment trap. ",2/4/14
BCODMO/634,Trawl_custom,,"A net towed through  the water column designed to sample free-swimming nekton or fish, varies in design depending on the research project. ",2/4/14
BCODMO/635,Sonotronics acoustics transmitter,,"Individually coded acoustic transmitters generate a unique aural sequence, as well as unique  combinations of frequency and ping interval allowing detection by both passive and active receivers.  see <a href=""http://www.sonotronics.com/?page_id=116"">http://www.sonotronics.com/?page_id=116</a> ",2/4/14
BCODMO/636,Cod Pot,,"Crab pots modified to catch cod.  Variously designed: floating v. static; large v. small; two or more large entrances v. one small entrance, rigid v. collapsible.",2/4/14
BCODMO/637,Rake,,"1 or 2-tined hand-held rakes, very much like garden rakes, used for collecting sea urchins, scallops or other small items from the seafloor by divers",2/4/14
BCODMO/638,ROV Jason,,"The Remotely Operated Vehicle (ROV) Jason is operated by the Deep Submergence Laboratory (DSL) at Woods Hole Oceanographic Institution (WHOI). WHOI engineers and scientists designed and built the ROV Jason to give scientists access to the seafloor that didn't require them leaving the deck of the ship. Jason is a two-body ROV system. A 10-kilometer (6-mile) fiber-optic cable delivers electrical power and commands from the ship through Medea and down to Jason, which then returns data and live video imagery. Medea serves as a shock absorber, buffering Jason from the movements of the ship, while providing lighting and a birds eye view of the ROV during seafloor operations. During each dive (deployment of the ROV), Jason pilots and scientists work from a control room on the ship to monitor Jasons instruments and video while maneuvering the vehicle and optionally performing a variety of sampling activities. Jason is equipped with sonar imagers, water samplers, video and still cameras, and lighting gear. Jasons manipulator arms collect samples of rock, sediment, or marine life and place them in the vehicles basket or on ""elevator"" platforms that float heavier loads to the surface. <a href=""http://www.whoi.edu/page.do?pid=8423"" target=""_blank"">More information </a>is available from the operator site at URL.",2/4/14
BCODMO/639,Submersible Incubation Device-In Situ Microbial Sampler,,"The Submersible Incubation Device-In Situ Microbial Sampler (SID-ISMS) system was developed for the 2011 NSF funded DHAB Metazoans Mediterranean Brine research project and first used on cruise AT18-14. The system includes several integrated components including: a 2 liter incubation chamber; fixation filters and water sample bottles; a High Range CTD (Neil Brown Ocean Sensors, Inc., USA) equipped with two turbidity sensors (Wet Labs ECOView); an Aanderra 2808F oxygen optode; an SDSL-data link; and a sonardyne beacon, a pinger and a 24 volt deep-sea battery. The sensors and sampling devices are mounted on a frame that is attached to the hydro-wire. Lowering rate and recovery speed are controlled by a winch mounted on the surface vessel.",2/4/14
BCODMO/640,Deep Submersible Incubation Device,,No description has been provided for the Deep Submersible Incubation Device (Deep-SID). The device is capable of collecting a 4 liter sample that can then be pushed to 8 subsample chambers that can contain a fixative. The Deep-SID was used by Dr. Joan Bernhard to conduct in situ grazing experiments during AT18-14.,2/4/14
BCODMO/641,Alvin tube core,,"A plastic tube, about 40 cm (16 inches) long, is pushed into the sediment by Alvin's manipulator arm to collect a sediment core.",2/4/14
BCODMO/642,HydroLab Datasonde 4 Multiprobe,,"Sensors for temperature, conductivity, salinity, specific conductance, TDS, pH, ORP, dissolved oxygen, turbidity, chlorophyll a, blue-green algae, Rhodamine WT, ammonium, nitrate, chloride, ambient light (PAR), and total dissolved gas.",2/4/14
BCODMO/643,Knudsen 320 BR deepwater echosounder,,"The Knudsen 320 B/R deepwater echosounder is a digital data logging system used to measure water depth (e.g. depth of the seafloor).  The system is configured to work with different frequency transducers. For example, the Edo 323 B is a 12 kHz High Frequency (HF) transducer or it can be configured to work with an array of 3.5 kHz Low Frequency (LF) transducers mounted in the hull of a vessel.",2/4/14
BCODMO/644,Weather Transmitter,,"The ship-mounted Vaisala Weather Transmitter WXT520 measures: Wind speed and direction; Liquid precipitation: rainfall, duration, intensity; Barometric pressure; Air temperature and Relative humidity.  (for more information see <a href=""http://www.vaisala.com/en/products/multiweathersensors/Pages/WXT520.aspx"">http://www.vaisala.com/en/products/multiweathersensors/Pages/WXT520.aspx</a>)",2/4/14
BCODMO/645,Underway radioactive cesium monitor,,"An OSU-constructed PVC enclosure housed a water-tight 2""x2"" NaI(Tl) Scintillation detector unit [Canberra Model 802-335]. Pulse signals were processed in a customized compact digital MCA [Avicenna RX1200] and output was captured and displayed on PC through custom spectroscopy software [Avicenna RayPanel].",2/4/14
BCODMO/646,BioSonics DT-X Digital Scientific Echosounder,,"The BioSonics DT-X Digital Scientific Echosounder is available in single or spilt beam configuration. The resultant data set comprises 38 and 120 kHz split beam data.  The DT-X Digital Scientific Echosounder is used for stock assessment, biomass estimates, and habitat mapping. DT-X digital transducers are available in a range of frequencies (38, 70, 120, 200, and 420 kHz) and beam patterns in split beam or single beam. Up to 5 transducers can be mulltiplexed for simultaneous data collection in any combination of frequencies and transducer orientations. The BioSonics split beam echosounder data can be analyzed for fish quantity, individual sizes, direction of travel through the acoustic beam.  Data analysis is done using BioSonics, Echoview, or Sonar4/5-Pro software (and other options are available). Additional information is available from: BioSonics DT-X Digital Echosounder (<a href=""http://www.biosonicsinc.com/product-overview.asp"">http://www.biosonicsinc.com/product-overview.asp</a>), BioSonics (<a href=""http://www.biosonicsinc.com"">http://www.biosonicsinc.com</a>), Echoview (<a href=""http://www.echoview.com/"">http://www.echoview.com/</a>), and Sonar4/5-Pro (<a href=""http://tid.uio.no/~hbalk/sonar4_5/index.htm"">http://tid.uio.no/~hbalk/sonar4_5/index.htm</a>).",2/4/14
BCODMO/647,Water Temperature Sensor,,General term for an instrument that measures the temperature of the water with which it is in contact (thermometer).,2/4/14
BCODMO/648,SBE 48 Hull Temperature Sensor,,"The SBE 48 is a high-accuracy temperature recorder with non-volatile memory, designed for shipboard determination of sea surface temperature. Installed with magnets just below the water line, the SBE 48's temperature sensor is in contact with the inside of the ship's hull. For more information, see the <a href=""http://www.seabird.com/pdf_documents/manuals/48_004.pdf"" target=""_blank"">SBE48 Manual</a>.",2/4/14
BCODMO/649,Automated DNA Sequencer,,"General term for a laboratory instrument used for deciphering the order of bases in a strand of DNA. Sequencers detect fluorescence from different dyes that are used to identify the A, C, G, and T extension reactions. ",2/4/14
BCODMO/650,Flow Meter,,"General term for a sensor that quantifies the rate at which fluids (e.g. water or air) pass through sensor packages, instruments, or sampling devices. A flow meter may be mechanical, optical, electromagnetic, etc.",2/4/14
BCODMO/651,Spat Bag,,"Mesh-netted bag used for collection of spat (juvenile scallops, oysters, etc.). Access to the bag is by a top opening held shut with a drawstring. Strips or panels<br />of black plastic or cloth material, designed to attract spat, are placed into the fine-meshed bag.  Bags are closed and hung underwater for a period of time to allow the spat to settle in the collection material. Further description provided <a href=""http://www.ctsa.org/files/publications/CTSA_1446316728547118902961.pdf"" target=""_blank"">here</a> (PDF).",2/4/14
BCODMO/652,Total Organic Carbon Analyzer,,"A unit that accurately determines the carbon concentrations of organic compounds typically by detecting and measuring its combustion product (CO2). See description document at: <a href=""http://bcodata.whoi.edu/LaurentianGreatLakes_Chemistry/bs116.pdf"">http://bcodata.whoi.edu/LaurentianGreatLakes_Chemistry/bs116.pdf</a>",2/4/14
BCODMO/653,Total Nitrogen Analyzer,,"A unit that accurately determines the nitrogen concentrations of organic compounds typically by detecting and measuring its combustion product (NO). See description document at: <a href=""http://bcodata.whoi.edu/LaurentianGreatLakes_Chemistry/totalnit.pdf"">http://bcodata.whoi.edu/LaurentianGreatLakes_Chemistry/totalnit.pdf</a>",2/4/14
BCODMO/654,Particulate Organic Carbon/Nitrogen  Analyzer,,A unit that accurately determines the carbon and nitrogen concentrations of organic compounds typically by detecting and measuring their combustion products (CO2 and NO).,2/4/14
BCODMO/655,Gyro,,Compass with a motorized gyroscope that tracks true north (heading).,2/4/14
BCODMO/656,Speedlog,,Measures Doppler near surface vessel speed through the water.,2/4/14
BCODMO/657,Flow Injection Analyzer,,An instrument that performs flow injection analysis. Flow injection analysis (FIA) is an approach to chemical analysis that is accomplished by injecting a plug of sample into a flowing carrier stream. FIA is an automated method in which a sample is injected into a continuous flow of a carrier solution that mixes with other continuously flowing solutions before reaching a detector. Precision is dramatically increased when FIA is used instead of manual injections and as a result very specific FIA systems have been developed for a wide array of analytical techniques.,2/4/14
BCODMO/658,Bottom Sediment Grab Samplers,,"These samplers are designed to collect an accurate representative sample of the sediment bottom. The bite of the sampler should be deep enough so all depths are sampled equally. The closing mechanism is required to completely close and hold the sample as well as prevent wash-out during retrieval. Likewise, during descent the sampler should be designed to minimize disturbance of the topmost sediment by the pressure wave as it is lowered to the bottom.",2/4/14
BCODMO/659,Methot Net,,"A Methot Net, a type of plankton net, is used to sample juvenile fish, shrimp, and 'larger' plankton, e.g. 4 millimeters and larger. Named after its designer, Richard D. Methot, of La Jolla, California, it is also called a Methot Trawl.  It is a single net with a large square opening or mouth. The net is deployed from the stern and towed behind the vessel. The Methot uses fine mesh (e.g. 4 mm) but with openings slightly larger than other plankton net systems. The larger mesh size allows the net to be towed at higher speeds. A flowmeter suspended in the mouth of net measures the flow of water moving through the net and allows for the calculation of the volume of water sampled. With its larger mouth and faster speed through the water, the Methot is designed to catch the larger zooplankton that are often missed by other plankton net samplers.",2/4/14
BCODMO/660,Flow Cytometer,,"Flow cytometers (FC or FCM) are automated instruments that quantitate properties of single cells, one cell at a time. They can measure cell size, cell granularity, the amounts of cell components such as total DNA, newly synthesized DNA, gene expression as the amount messenger RNA for a particular gene, amounts of specific surface receptors, amounts of intracellular proteins, or transient signalling events in living cells.<br />(from: <a href=""http://www.bio.umass.edu/micro/immunology/facs542/facswhat.htm"">http://www.bio.umass.edu/micro/immunology/facs542/facswhat.htm</a>)",2/4/14
BCODMO/661,Gas Chromatograph,,"Instrument separating gases, volatile substances, or substances dissolved in a volatile solvent by transporting an inert gas through a column packed with a sorbent to a detector for assay. (from SeaDataNet, BODC)",2/4/14
BCODMO/662,Ion Chromatograph,,"Ion chromatography is a form of liquid chromatography that measures concentrations of ionic species by separating them based on their interaction with a resin. Ionic species separate differently depending on species type and size. Ion chromatographs are able to measure concentrations of major anions, such as fluoride, chloride, nitrate, nitrite, and sulfate, as well as major cations such as lithium, sodium, ammonium, potassium, calcium, and magnesium in the parts-per-billion (ppb) range. (from <a href=""http://serc.carleton.edu/microbelife/research_methods/biogeochemical/ic.html"" target=""_blank"">http://serc.carleton.edu/microbelife/research_methods/biogeochemical/ic.html</a>)",2/4/14
BCODMO/663,YSI Sonde 6-Series,,"YSI 6-Series water quality sondes and sensors are instruments for environmental monitoring and long-term deployments. YSI datasondes accept multiple water quality sensors (i.e., they are multiparameter sondes). Sondes can measure temperature, conductivity, dissolved oxygen, depth, turbidity, and other water quality parameters. The 6-Series includes several models. <a href=""http://www.ysi.com/productsdetail.php?6-Series-Sondes-57"" target=""_blank"">More from YSI</a>.",2/4/14
BCODMO/664,Alvin Heatflow Probe 0.66m,,The Heatflow probe is a temperature measuring device on the submersible Alvin. It is a 0.6 m titanium tube containing a linear heater and 5 thermistors. The Heatflow probe is designed to measure temperature gradients when inserted into soft sediments.,2/4/14
BCODMO/665,Alvin High Temperature Probe,,A temperature measuring device on the submersible Alvin. The high temperature probe is capable of reading in-situ water temperatures from 0 to 450 degrees C.,2/4/14
BCODMO/666,YSI Professional Plus Multi-Parameter Probe,,"The YSI Professional Plus handheld multiparameter meter provides for the measurement of a variety of combinations for dissolved oxygen, conductivity, specific conductance, salinity, resistivity, total dissolved solids (TDS), pH, ORP, pH/ORP combination, ammonium (ammonia), nitrate, chloride and temperature. More information <a href=""https://www.ysi.com/productsdetail.php?Professional-Plus-18"" target=""_blank"">from the manufacturer.</a>",2/4/14
BCODMO/667,Spectrometer,,A spectrometer is an optical instrument used to measure properties of light over a specific portion of the electromagnetic spectrum.,2/4/14
BCODMO/668,Wildlife Computers Time-Depth Tag (TDR),,"Time depth recorders (TDR's) manufactured by Wildlife Computers, Redmond WA) are designed for studies of seals, penguins, fish, and marine mammals. Standard TDR's are mounted externally on the animal's body, where they record temperature and depth. See <a href=""http://www.wildlifecomputers.com/tdr.aspx"" target=""_blank"">more information from the manufacturer</a>.",2/4/14
BCODMO/669,SPOT5 Argos Transmitter,,"The SPOT5 is an Argos transmitter manufactured by Wildlife Computers (Redmond, WA) and designed for deployment on marine mammals, fish, or seabirds. SPOT5 devices use the Argos satellite network to transmit locations of animals with an accuracy of +/- 350-meters. See <a href=""http://www.wildlifecomputers.com/products.aspx?ID=2"" target=""_blank"">more information from the manufacturer</a>.",2/4/14
BCODMO/670,Air Temperature Sensor,,Measures air temperature,2/4/14
BCODMO/671,Precipitation Gauge,,measures rain or snow precipitation,2/4/14
BCODMO/672,MARMAP Bongo Net,,"A non-opening-closing descendant of the McGowan/Brown Bongo net, consisting of a pair of circular hoops (61 cm in diameter and 30 cm long) joined by a central yoke which is clamped to the towing cable.  The nets are 61 cm in diameter and have a cylindrical section 147 cm long and a conical section 153 cm long.  Mesh sizes from 0.1 to 0.5 mm have been used, but normally 0.333 mm is used.  A flowmeter is present in each hoop [Posgay and Marak (1980), Fig. 1].",2/4/14
BCODMO/673,Sea-Bird SBE 38 Remote Digital Immersion Thermometer,,"Sea-Bird SBE 38 Remote Digital Immersion Thermometer is a seawater temperature sensor in a 10,500 meter (34,400 ft) titanium pressure housing. Real-time temperature data is transmitted in ASCII characters (degrees C or raw counts) via an RS-232 or optional RS-485 serial interface for display or logging by PC or data logger.</p><p>The SBE 38's measurement range is -5 to +35 C; absolute accuracy is better than 0.001 C (1 mK) and resolution is approximately 0.00025 C (0.25 mK). ",2/4/14
BCODMO/674,pH Sensor,,General term for an instrument that measures the pH or how acidic or basic a solution is.,2/4/14
