"entrykey";"entryterm";"entrytermabbr";"entrytermdef";"entrytermlastmod"
"L22/TOOL0480";"Chelsea Technologies 4-pi Photosynthetically Active Radiation sensor HB 071";"CTG HB 071 4-pi PAR";"A submersible instrument designed to measure irradiance over the photosynthetically active radiation (PAR) spectral range. It includes two hemispherical sensors to provide a spherical field of view and uses a logarithmic amplification to provide light measurements over several orders of magnitude. It uses a photodiode with enhanced blue/green sensitivity which, when used in conjunction with blue-tint glass, produces a quantum response that is flat to +/- 3% over the range 450 to 700nm, and 8% at 400nm The instrument has a depth rating of 500m.";"2012-03-15"
"L22/TOOL0481";"Marianda VINDTA 3C total inorganic carbon and titration alkalinity analyser";"VINDTA 3C TIC and TA analyser";"The Versatile INstrument for the Determination of Total inorganic carbon and titration Alkalinity (VINDTA) 3C is a laboratory alkalinity titration system combined with an extraction unit for coulometric titration, which simultaneously determines the alkalinity and dissolved inorganic carbon content of a sample. The sample transport is performed with peristaltic pumps and acid is added to the sample using a membrane pump. No pressurizing system is required and only one gas supply (nitrogen or dry and CO2-free air) is necessary. The system uses a Metrohm Titrino 719S, an ORION-Ross pH electrode and a Metrohm reference electrode. The burette, the pipette and the analysis cell have a water jacket around them. Precision is typically ± 1 umol/kg for TA and/or DIC in open ocean water.";"2012-03-19"
"L22/TOOL0482";"Trimble Applanix POSMV global positioning system";"Applanix POSMV GPS";"The Position and Orientation Systems for Marine Vessels (POSMV) is a real time kinematic (RTK) and differential global positioning system (DGPS) receiver for marine navigation. It includes an inertial system that provides platform attitude information. The instrument provides accurate location, heading, velocity, attitude, heave, acceleration and angular rate measurements.";"2012-03-19"
"L22/TOOL0483";"Flow injection chemiluminescence system with photon counting head";"FI-CL photon counting system";"An analytical system used to determine concentrations of chemical species in a sample based on the luminescence of the species of interest. The system typically comprises individual components typically including pumps, injection and autosampler valves, preconcentration columns and a photon counting head for chemiluminescence detection. The system is normally uniquely assembled for each analysis.";"2012-03-29"
"L22/TOOL0484";"PerkinElmer Optima 4300 DV inductively coupled plasma optical emission spectrometer";"PerkinElmer 4300 DV ICP-OES";"An optical emission spectrometer (OES) that determines elemental composition of a sample through the amount of light emitted from atoms or ions at specific wavelengths. The atomization source is an inductively coupled plasma (ICP) which is maintained by the interaction of Radio Frequency (RF) energy, generated by a solid-state RF generator, a horizontally mounted quartz torch and ionized argon gas. Standards and samples are acquired with the aid of an autosampler. The sample solution is injected as an aerosol into the plasma via a nebuliser and spray chamber using the integral peristaltic pump. Light from the plasma and the various atomic emissions therein pass through duel view (DV) windows into the thermally stabilised, argon-purged optical compartment housing an Echelle polychromator to separate the light into its component wavelengths. The polychromator comprises diffraction gratings, mirrors, lenses and visible and ultra-violet detector sets, each comprising arrays of segmented-array charge-coupled device (SCD) detectors and allows simultaneous quantification of atomic emissions in the plasma.";"2012-03-29"
"L22/TOOL0485";"PerkinElmer AS 93plus autosampler";"PerkinElmer AS 93plus autosampler";"A laboratory random-access autosampler which is a computer-controlled, multi-purpose sampling system for flame and flow-injection atomic absorption, ICP-OES and ICP-MS. The instrument automates standard and sample introductions via software commands. Random-access programming gives broad flexibility in the placement of samples and standards. The sample probe, including the sample transport capillary tubing is made of acid and solvent-resistant materials. The AS 93plus model is compatible with commonly used sample trays from other manufacturers.  The instrument includes an integrated power supply and control electronics, and also has automatic rinsing.";"2012-03-29"
"L22/TOOL0486";"ThermoFinnigan AS3000 Autosampler";"ThermoF AS3000 autosampler";"A laboratory autosampler for automatic routine sampling and complete sample preparation. The instrument includes a sample tray, injector and column oven, all of which are precisely temperature-controlled. It features a 120 vial capacity with random vial access and multiple injection modes to maximise sampling flexibility. Unique sample withdrawal and automatic flush procedures minimise cross contamination between samples, typically less than 0.01% with a 400 uL flush volume. RSD precision is better than 0.5%. The instrument was designed for use with the SpectraSYSTEM HPLC. The instrument was originally manufactured by Thermo Finnigan, which was replaced by Thermo Electron and later Thermo Scientific (part of Thermo Fisher Scientific).";"2012-03-29"
"L22/TOOL0487";"ThermoFinnigan SpectraSYSTEM High Performance Liquid Chromatograph";"ThermoF Spectra HPLC";"The SpectraSYSTEM is designed for automated sample preparation and HPLC analysis. It comprises a series of modules, including a range of degassers, pumps, autosamplers and detectors. The solvent is delivered by a pump featuring a real-time pressure feedback and automatic solvent compressibility system optimized to provide accurate and precise pump flows, regardless of solvent composition. SpectraSYSTEM pumps are designed for flow rates of 10 uL to 10 mL/min (flow rate precision < 0.2% RSD) and feature excellent gradient accuracy and linearity. The SpectraSYSTEM includes an autosampler with a 120 vial capacityThe SpectraSYSTEM can be fitted with a variety of detectors, including UV/Visible (deuterium and tungsten lamps), photodiode array (deuterium and tungsten-halogen lamps) and fluorescence (pulsed xenon lamps) spectrometers. The instrument was originally manufactured by Thermo Finnigan, which was replaced by Thermo Electron and later Thermo Scientific (part of Thermo Fisher Scientific).";"2012-03-29"
"L22/TOOL0488";"ThermoFinnigan UV6000LP photodiode array detector";"ThermoF UV6000LP detector";"A UV/Visible programmable detector designed for spectroscopic applications. It uses a linear array of discrete photodiodes and allows a range of wavelengths to be detected simultaneously. A LightPipe flowcell produces higher signal-to-noise ratio than standard flowcells, while deuterium and tungsten-halogen lamps increase light level across the full spectral range from 190-800 nm. Noise is lower than 6 uAU/cm of pathlength and a unique fiber-optic bundle creates a high resolution image with minimal light loss. The instrument was designed for use with the SpectraSYSTEM HPLC. The instrument was originally manufactured by Thermo Finnigan, which was replaced by Thermo Electron and later Thermo Scientific (part of Thermo Fisher Scientific).";"2012-05-21"
"L22/TOOL0489";"Satlantic Submersible Ultraviolet Nitrate Analyser";"Satlantic SUNA NO3 analyser";"The Submersible Ultraviolet Nitrate Analyser (SUNA) uses ultraviolet absorption spectroscopy to measure in-situ dissolved nitrate. It is a chemical-free method that allows real-time and continuous nitrate concentration measurements in a variety of environments. It has a 1 cm path length, 190 - 370 nm wavelength range and a depth rating of 100 m.";"2012-04-17"
"L22/TOOL0490";"Star-Oddi DST Pitch and Roll Recorder";"Star-Oddi DST Pitch and Roll";"A miniature underwater data logger which measures temperature, pressure and pitch and roll (tilt angle) relative to the earth gravity. It has a range of depth ratings from 30 m to 3000 m and a temperature range of -1 degC to 40 degC with an accuracy of +/- 0.1 degC and a resolution of 0.032 degC. The tilt range is 160 deg (+/- 80 deg) with an accuracy of +/- 5deg and a resolution of 0.3 deg.";"2012-04-30"
"L22/TOOL0491";"Kongsberg Seatex Seapath 320+ Precise Heading, Attitude and Positioning Sensor";"Kongsberg Seapath 230+ GPS";"A navigational system including two Global Navigation Satellite System (GNSS) receivers and a MRU 5+ inertial sensor. The inertial sensor employs linear accelerometers and unique microelectromechanical systems (MEMS)-type angular rate gyros to provide 0.01 RMS pitch and roll accuracy. The GNSS receivers can use multiple satellite constellations (GPS, GLONASS and Galileo, when available) to provide accurate heading and position data. This model has a position accuracy of 1 m inifferential GPS (DGPS), GLONASS and satellite-based augmentation system (SBAS) modes, and an accuracy of 0.2 m with real-time kinematic (RTK) corrections.";"2012-05-21"
"L22/TOOL0492";"Kongsberg EM 122 multibeam echosounder";"Kongsberg EM 122";"A multibeam 12 kHz echsounder designed for high resolution seabed mapping. It uses both Continuous Wave (CW) and Frequency Modulated (FM) sweep pulses with pulse compression on reception in order to increase the maximum used swath width. This system has up to 288 beams/432 soundings per swath with pointing angles which are automatically adjusted according to achievable coverage or operator defined limits. The transducers are modular linear arrays in a Mills cross configuration with separate units for transmit and receive. It has a depth range of 20 to 11000 m and a depth resolution of 1 cm.";"2012-05-21"
"L22/TOOL0493";"Litre Meter LMSPFA.05 flow meter";"Litre Meter LMSPFA.05 flow meter";"Pelton Wheel flow meter designed to monitor water flow rates for pumped systems such as ships' continuous seawater supplies. The flow meter is designed to measure low flow rates in the range 0.006 to 0.1 l/min. Water flows through an inlet and is directed onto a rotor, whose rotation rate is directly proportional to the flow rate.";"2012-05-21"
"L22/TOOL0494";"Rotronic Hygromet MP102H temperature and humidity probe";"Rotronic MP102H";"Meteorological probe with a Hygro Clip HC2-S3 plug-in sensor that measures humidity and temperature. This model has a range of 0 to 100% in humidity, with an accuracy of 0.8%, and a temperature range of -40 to 80 degC, with an accuracy of 0.1 degC. It can be equipped with a signal conditioned Pt100 temperature probe. Model MP102H produces a voltage output as opposed to the current output produced by the similar MP402H.";"2012-05-21"
"L22/TOOL0495";"Rotronic Hygromet MP402H temperature and humidity probe";"Rotronic MP402H";"Meteorological probe with a Hygro Clip HC2-S3 plug-in sensor that measures humidity and temperature. This model has a range of 0 to 100% in humidity, with an accuracy of 0.8%, and a temperature range of -40 to 80 degC, with an accuracy of 0.1 degC. It can be equipped with a signal conditioned Pt100 temperature probe. Model MP402H produces a current output as opposed to the voltage output produced by the similar MP102H.";"2012-05-21"
"L22/TOOL0496";"Carlo Erba NC 2500 elemental analyser";"Carlo Erba NC 2500 EA";"A laboratory instrument that simultaneously determines total nitrogen, total hydrogen and total carbon in a solid sample. The sample is completely and instantaneously oxidised by flash combustion, which converts all organic and inorganic substances into combustion products.The resulting combustion gases pass through a reduction furnace and are swept into the chromatographic column by the helium carrier gas. The gases are separated in the column and quantified or they can be introduced into another instrument, such as an isotope ratio mass spectrometer, for further analysis. The instrument was originally manufactured by CE instruments (formerly Carlo Erba) and has since been replaced by Thermo Scientific (part of Thermo Fisher Scientific). This model is no longer in production.";"2012-05-21"
"L22/TOOL0497";"SPX Bran+Luebbe colorimetric Autoanalyser 3";"Bran+Luebbe Autoanalyser 3";"A colorimetric autoanalyser (AA) that may be used to measure nutrient concentrations in seawater. It is an air-segmented, continuous flow instrument comprising a sampler, a peristaltic pump which simultaneously pumps samples, reagents and air bubbles through the system, an analytical cartridge and a colorimeter. Additional modules for functions such as dialysis, distillation and heating can be added to the system, depending on user requirements.";"2012-05-23"
"L22/TOOL0498";"Aanderaa conductivity sensor 3919A";"Aanderaa 3919A cond sensor";"An inductive conductivity sensor designed to operate over a range of 0-7.5 S/m with a resolution of 0.0002 S/m and an accuracy of +/- 0.005 S/m. The instrument includes a temperature sensor with a range of -5 to 40 degC, a resolution of 0.01 degC and an accuracy of +/-0.1 degC. The shallow water (SW) version of the instrument is rated to 300 m, the intermediate water (IW) version to 2000 m and the deep water (DW) version to 6000 m. The instrument has a titanium casing and can be interfaced with the Aanderaa RCM9/11 or RDCP, or used for standalone operations.";"2012-06-13"
"L22/TOOL0499";"Aanderaa conductivity sensor 3919B";"Aanderaa 3919B cond sensor";"An inductive conductivity sensor designed to operate over a range of 0-7.5 S/m with a resolution of 0.0002 S/m and an accuracy of +/- 0.0018 S/m. The instrument includes a temperature sensor with a range of -5 to 40 degC, a resolution of 0.01 degC and an accuracy of +/-0.1 degC. The shallow water (SW) version of the instrument is rated to 300 m, the intermediate water (IW) version to 2000 m and the deep water (DW) version to 6000 m. The instrument has a titanium casing and can be interfaced with the Aanderaa RCM9/11 or RDCP, or used for standalone operations.";"2012-06-13"
"L22/TOOL0500";"Stand-alone pump";"SAP";"A submersible battery powered water pump that sucks water through various filters leaving the materials of interest on the filter for analysis. SAPs are deployed clamped to a hydrographic wire and may be used to sample at depths of up to 6000 m. A SAP can pump thousands of litres of water over a few hours.";"2012-06-21"
"L22/TOOL0501";"Autosampling and Recording Instrumental Environmental Sampler rosette water bottle";"ARIES water sample bottle";"A custom made water sampling bottle designed to fit on the ARIES net rosette sampler. The bottle comprises a free-flooding tube with hinged sealing lids at each end. The lids of each tube are connected by an internal length of silicone elastic. Prior to sampling the lids are held open by pins slotted into pivoting levers. When sampling is complete for one bottle the levels at each end of the next tube in the carousel are simultaneously turned by a rotating arm, thus releasing the lids and closing the tube. Each tube is 40 cm long and has an external diameter of 42 mm and a capacity of 250 ml.";"2012-06-21"
"L22/TOOL0502";"Van Dorn water sampler";"Van Dorn water sampler";"A free-flushing water sample bottle comprising a cylinder (polycarbonate, acrylic or PVC) with a stopper at each end. The bottle is closed by means of a messenger from the surface releasing the tension on a latex band and thus pulling the two stoppers firmly into place. A thermometer can be mounted inside the bottle. One or more bottles can be lowered on a line to allow sampling at a single or multiple depth levels. Van Dorn samplers are suitable for for physical (temperature), chemical and biological sampling in shallow to very deep water. Bottles are typically lowered vertically through the water column although a horizontal version is available for sampling near the seabed or at thermoclines or chemoclines. Because of the lack of metal parts the bottles are suitable for trace metal sampling, although the blue polyurethane seal used in the Alpha version may leach mercury. The Beta version uses white ASA plastic seals that do not leach mercury but are less durable.";"2012-06-21"
"L22/TOOL0503";"NIOZ PRISTINE ultraclean water sampler";"PRISTINE sampler";"Ultraclean water sampler developed by the Royal Netherlands Institute For Sea Research (NIOZ) for the GEOTRACES Program. Individual sample bottles have a capacity of 27 litres and include butterfly valves that ensure bottles are closed when passing through the ocean surface and reopen subsurface. Teflon valves for subsampling at the base of bottles ensure drainage of settling particulates. Samplers are deployed with a Kevlar hydrowire cable with internal signal cables. A single bottle may be used (e.g. during small boat work) or an array of bottles may be mounted on a frame for shipboard CTD work. Trip mechanisms range from a weighted messenger to trip wires or hydraulics for rosette sampling.";"2012-06-21"
"L22/TOOL0504";"Carboy";"Carboy";"A rigid container made of material such as glass or high density plastic with a typical capacity of 20 to 60 litres. A carboy is typically used to store or transport liquids.";"2012-06-21"
"L22/TOOL0505";"Knudsen reversing water bottle";"Knudsen bottle";"A frameless reversing water bottle with reversing thermometers that is used to collect water samples. The bottom of the bottle is clamped to a wire and the top of the bottle is held to the wire by a catch. It has independent hinged lids at each end which are held open against an internal spring when the bottle is deployed. Once the bottle has reached the target depth a messenger is dropped down the wire and hits the catch. The lids close and the bottle falls through 180deg, pivoting on the bottom clamp. This action reversed the thermometers, which are housed in a frame attached to the bottle.";"2012-06-21"
"L22/TOOL0506";"General Oceanics GO-FLO water sampler";"GO-FLO bottle";"A plastic free-flushing water sampling bottle with a capacity of 1.7-100 litres. The tube is composed of PVC and has ball valves with Viton and silicone seals at each end joined by an external latex spring and nylon and Kevlar lanyards. It is closed when deployed then opens automatically (hydrostatic pressure activated) at approximately 10 m and flushes until closed. When the bottle reaches the desired depth the lanyards are released by a pressure-actuated switch, command signal or messenger weight and the caps are forced shut and sealed. Bottles may be deployed singly clamped to a wire or in groups on a rosette. A reversing thermometer assembly may be attached to the bottle. When extracting water from the bottle, inert gas can be injected into the bottle to force the sample out of the sampling valve. The GO-FLO sampler avoids sample contamination at the surface, internal spring contamination, loss of sample on deck (internal seals), and exchange of water from different depths.";"2012-06-21"
"L22/TOOL0507";"Garrett Screen surface sampler";"Garrett Screen";"A hand-held Monel (nickel-copper alloy) mesh screen in a rigid frame designed to sample the surface film in oceanic waters. The screen is placed horizontally through the water surface then withdrawn from the water (still held horizontally) and drained into a sample bottle. It is used to sample chemical and biological species in the surface film. The Garrett Screen was developed in the 1960s by William Garrett of the US Naval Research Laboratory.";"2012-06-22"
"L22/TOOL0508";"Friedinger bottle water sampler";"Friedinger bottle";"A free flushing sample bottle of 1-5 litre capacity comprising a glass, metal or plastic tube with a hinged lid at each end. The bottle is deployed on a wire with the lids held open. When the bottle reaches the target depth a weighted messenger is sent down the wire and releases the lids, sealing the sample in the bottle. The bottle was designed by H Friedinger (Lucerne, Switzerland) to collect water samples for plankton analysis.";"2012-06-22"
"L22/TOOL0509";"Lasentec Partec 100 focused beam reflectance measurement particle sizer";"Partec 100 FBRM";"An in situ particle sizer that uses the principal of focused beam reflectance measurement (FBRM) to measure particle sizes in the range 2-1000 um in a liquid. The probe tip includes an optic filter, beam splitter, laser beam and sapphire window, through which laser light is passed into the liquid. The light is diffracted by particles suspended in the liquid and the FBRM measures the chord length distribution (CLD), which is a function of the number, size and shape of the particles. Typically, many thousands of chords are measured per second, providing a robust measurement sensitive to the change in the size or number of particles. The instrument can be deployed on a hydrographic wire and lowered to the required depth, where is is held steady while a particle spectrum is collected. The instrument was developed by Lasentec (also known as Lasentech), which has since been taken over by Mettler Toledo. The Partec 100 is no longer in production.";"2012-06-22"
"L22/TOOL0510";"Turner Designs 700 Laboratory Fluorometer";"TD-700 Lab Fluorometer";"A benchtop fluorometer designed to detect fluorescence over the UV to red range. It uses a Quartz Halogen Lamp or a Low Pressure Mercury Vapour Lamp to excite the species of interest and fluorescence is detected by a photomultiplier tube with a range of 300-650 nm. A red-sensitive tube with a detection range of 185-870 nm is also available. The instrument can measure concentrations of a variety of compounds, including chlorophyll-a and fluorescent dyes, and is thus suitable for a range of applications, including chlorophyll, water quality monitoring and fluorescent tracer studies. Samples can be averaged by the instrument to improve accuracy, and it can read and subtract a blank measurement from the data, further improving the accuracy. Data can be output as concentrations or raw fluorescence measurements.";"2012-06-28"
"L22/TOOL0511";"SEAL Analytical QuAAtro Autoanalyser";"QuAAtro SFA";"A microflow Segmented Flow Analysis (SFA) system, ideal for water and seawater analysis. It comprises a sampler, a peristaltic pump which simultaneously pumps samples, reagents and air bubbles (to segment the flow) through the system, a chemistry manifold and a high resolution digital photometer that allows detection of a variety of substances at low concentrations. The unit also includes AACE data acquisition software. High temperature heating baths, distillation and dialyzers are available for methods that require them.";"2012-07-10"
"L22/TOOL0512";"WestCo Scientific Instruments SmartChem 200 Discrete Analyzer";"SmartChem 200 Discrete Analyzer";"A laboratory instrument designed for discrete sample analysis. A manual arm collects sample and reagents and dispenses them in a cuvette. The cuvette resides in a heated carousel wheel where the chemical reaction is allowed to proceed to the development of a colored product. The optical density of the reaction product is then measured. It may be used to measure nutrient concentrations in seawater. WestCo Scientific Instruments is a subsidiary of Unity Scientific.";"2012-07-04"
"L22/TOOL0513";"Flow injection lumogallion system with fluorometer";"FIA fluorometer system";"An analytical system used to determine concentrations of chemical species in a sample based on the fluorescence from the reaction between lumogallion and the species of interest. The system typically comprises individual components typically including pumps, injection and autosampler valves, preconcentration columns and a fluorometer. The system is normally uniquely assembled for each analysis.";"2012-07-04"
"L22/TOOL0514";"Metrohm microAutolab type 2 potentiostat/galvanostat";"Metrohm microAutolab 2";"A computer-controlled compact potentiostat/galvanostat for electrochemical research and electroanalysis. It has a potentiostat bandwidth of 500 kHz, an input impedance of >100 GOhm and features an analog integrator. The instrument can supply a maximum current of 80 mA with an accuracy of 0.2% and a resolution of 0.0003%. Potential accuracy is 0.2% and potential resolution is 3 uV.  The instrument can perform almost all elelctrochemical techniques including voltammetry, fuel cell, battery, biosensors, electroplating, coatings and corrosion. It has an external USB interface and is controlled by NOVA software.";"2012-07-04"
"L22/TOOL0515";"Metrohm 663 VA Stand mercury electrode";"Metrohm 663 VA";"The Metrohm 663 VA stand forms the wet chemical part of a polarographic and voltammetric analytical system. It features a mercury electrode, an Ag/AgCl reference electrode and a glassy carbon counter electrode. The size of the mercury drop and the stirrer speed are set manually on the VA Stand. The VA Stand can be operated in Dropping Mercury Electrode (DME), Hanging Mercury Drop Electrode (HMDE) and Static Mercury Drop Electrode (SMDE) modes. The VA Stand can be controlled by a potentiostat in conjunction with the Metrohm IME663 interface.";"2012-07-04"
"L22/TOOL0516";"Nu Instruments Plasma 1700 High Resolution Multi Collector inductively coupled plasma mass spectrometer";"Nu Plasma 1700 MC-ICP-MS";"The Nu Plasma 1700 High Resolution Multi Collector inductively coupled plasma mass spectrometer (MC-ICP-MS) is designed for high resolution isotope ratio measurements. The instrument features a high dispersion and large geometry to provide a high mass resolution of 700 to 3000 m/Dm (10% valley convention) whilst still maintaining flat top peaks for high precision measurements with minimal loss in sensitivity. The instrument has a mass dispersion of 17% at zoom magnification 1 and is equipped with 16 Faraday cups: ten incorporated in a fixed central array and three each to the low and high mass side as well as three secondary electron multipliers, of which one is equipped with an abundance sensitivity filter. Independent computer controlled adjustable slits positioned in front of all detectors, allow movement in width and central position providing perfect alignment of the peaks of interest.";"2012-07-04"
"L22/TOOL0517";"Picarro L2130-I deltaD/delta18O Isotopic Water Analyzer";"Picarro L2130-I Water Analyzer";"A portable analyser designed for laboratories or field based isotope analysis. It uses Cavity Ring-Down Spectroscopy (CRDS) to measure the spectral signature of the molecule of interest. The instrument includes a closed-loop temperature and pressure control. The L2130-i can be used in all aspects of the water cycle: water vapor, liquid water, or water trapped in solids. It has a typical precision of 0.25 per mil for d18O and 1.20 per mil for dD in solid samples. Corresponding typical values for liquid samples are 0.011 per mil for d18O and 0.038 per mil for dD.";"2012-07-04"
"L22/TOOL0518";"PerkinElmer Tri-Carb 3110TR low activity liquid scintillation analyzer";"Tri-Carb 3110TR liquid scintillation";"A benchtop liquid scintillation analyser for detecting small amounts of alpha, beta and gamma radioactivity. It features a Multichannel Analyzer with an effective resolution of 1/10 keV and an extended dynamic quench range. Sample capacity is either 408 standard 20 mL vials, or 720 small 4 or 7 mL vials. The instrument includes a barium-133 low energy external standard source centered under the sample vial which eliminates the effects of volume variations. It has an energy range of 0-2000 keV and an operating ambient temperature range of 15-35 degC.";"2012-07-04"
"L22/TOOL0519";"BD Biosciences FACSAria II Flow Cytometer";"BD FACSAria II Flow Cytometer";"A high-speed fixed-alignment benchtop cell sorter. The cytometer can be operated at varied pressures and can acquire up to 70,000 events per second. It is capable of multicolour analysis of up to 13 fluorescent markers and two scatter parameters at a time. The system consists of three major components: a fluidics cart, optics system and cytometer electronics. This model has been discontinued. BD Biosciences is a component of BD, previously known as Becton Dickinson.";"2012-07-04"
"L22/TOOL0520";"Technicon TrAAcs 800 colorimetric autoanalyser";"TrAAcs 800 autoanalyser";"The TrAAcs system is a continuous flow wet chemistry analyser that determines analyte concentrations using a colorimeter to detect changes in colour produced by the presence of the analytes. It may be used to measure nutrient concentrations in seawater. The instrument is no longer in production and Technicon no longer exists. However, the instrument is supported (parts, servicing and consumables) by SEAL Analytical.";"2012-07-04"
"L22/TOOL0521";"Becton Dickinson FACSort Flow Cytometer";"BD FACSort Cytometer";"A fixed-alignment, 5 detector benchtop cell sorter. The cytometer can sort cells at a rate of 300 per second and can be used at three selectable flow rates. The cytometer uses an argon-ion laser and has a variable sample pressure. Seven data channels are available for data acquisition. The cytometer consists of an optics, electronics and fluidics system. Becton Dickinson is now BD Biosciences.";"2012-07-05"
"L22/TOOL0522";"Nu Instruments Plasma I (HR) Multi-Collector Inductively Coupled Plasma Mass Spectrometer";"Nu Plasma I MC-ICP-MS";"A double focusing multi-collector inductively coupled plasma mass spectrometer (MC-ICP-MS) featuring unique variable dispersion optics. The instrument includes: a double focusing system, vacuum system, zoom optics, Faraday detector system, multiplier detector system, water cooling and computer systems. Twelve Faraday detectors are fitted to the instrument as standard and up to three ion-counting multiplier channels can be specified for the standard collector housing. Deflection with a magnet and second electrostatic anaylser compensates for any energy spread of the ion beam.";"2012-07-05"
"L22/TOOL0523";"Varian Cary 50 UV-Vis Spectrophotometer";"Cary 50 UV-Vis Spectrophotometer";"A laboratory instrument that measures the amount of light at discrete pre-determined wavelengths that is transmitted or emitted by a sample. The instrument uses a dual beam, Czerny-Turner monochromator with a 190–1100 nm wavelength range and approximately 1.5 nm fixed spectral bandwidth. It uses a full spectrum Xe pulse lamp single source and dual Si diode detectors. The instrument has scan rates of up to 24000 nm/min and a maximum measurement rate of 80 data points per s. It also has room light immunity. It was manufactured by Varian (now part of Agilent Technologies).";"2012-07-09"
"L22/TOOL0524";"Ashtech G12 Global Positioning System receiver";"Ashtech G12 GPS";"A 12-channel, all-in-view Global Positioning System (GPS) receiver. It is Differential GPS (DGPS) ready, with a horizontal accuracy of 90 cm in GPS mode and 40 cm in DGPS mode. Update rate is selectable up to 10 Hz.";"2012-07-16"
"L22/TOOL0525";"Picarro L1102-i Isotopic Water Liquid Analyzer";"Picarro L1102-i Water Analyzer";"A portable analyser designed for laboratories or field based isotope analysis. It uses Cavity Ring-Down Spectroscopy (CRDS) to measure the spectral signature of the molecule of interest. The instrument includes a closed-loop temperature and pressure control. The L1102-i can be used for analysis of liquid water only. It has a typical precision of 0.1 per mil for d18O and 0.5 per mil for dD.";"2012-07-25"
"L22/TOOL0526";"Horiba U-22 multiparameter instrument";"Horiba U-22";"The Horiba U-22 multiparameter sensor is a submersible probe which allows simultaneous measurement of 10 water property parameters to depths of up to 100 metres. The measured parameters are pH, dissolved oxygen, conductivity, salinity, total dissolved solids, seawater specific gravity, temperature, turbidity, depth and oxidation reduction potential.";"2012-07-31"
"L22/TOOL0527";"Howaldtswerke-Deutsche Werft Bathysonde CTD profiler";"HDW Bathysonde";"A conductivity-temperature-pressure profiler with a pressure rating of either 800dbar or 6000dbar, a pressure precision of +/- 0.25% of total range and a resolution of 1dbar or better. It had temperature precision of +/- 0.01 degC and a resolution of 0.01 degC. The conductivity range was 0 to 80 mmho/cm, with a precision of +/- 1.5 permil of total range and a resolution of 0.01 mmho/cm. The instrument was developed in the 1970s and was used by the then Institute for Marine Science, Kiel.";"2012-08-16"
"L22/TOOL0528";"Satlantic ISUS V3 Nitrate Sensor";"ISUS V3 NO3 sensor";"An active optical instrument with an internal UV light source and spectrometer used to measure in-situ dissolved nitrate. It is a chemical-free method that allows real-time and continuous nitrate concentration measurements in a variety of environments. It uses a Deuterium lamp as a light source and has a 1cm path length and 200-400 nm wavelength range. It has a depth rating of 1000 m and a detection range of  0.5 to 2000 uM *(0.007 to 28 mg/l-N)  and accuracy of +/- 0.2 uM (0.028 mg/l) or ± 10% of reading, whichever is greater. The V3 has USB data transfer ability and window based software.";"2012-08-09"
"L22/TOOL0529";"Kipp and Zonen SP LITE2 pyranometer";"Kipp and Zonen SP LITE2";"A silicon pyranometer with a spectral range of 400-1100 nm. Its sensitivity is proportional to the cosine of the angle of incidence of the incoming radiation. It has a sensitivity of 60 to 100 uV/W/m^2 and can operate at temperatures between -30 and 70 degC. The instrument supersedes the original SP Lite and has an improved response time of <500ns compared with <1s for the older model.";"2012-08-15"
"L22/TOOL0530";"Kipp and Zonen PSQ1 PAR Quantum Sensor";"Kipp and Zonen PSQ1";"A non-submersible PAR sensor incorporating a diffuser with an excellent directional (cosine) response and a silicon photodiode detector. It can be used in field research or permanent applications. It has a spectral range of 400 to 700 nm and a sensitivity of 4 to 10 mV/umol/m^2/s.";"2012-08-16"
"L22/TOOL0531";"Valeport MIDAS Sound Velocity Probe";"Valeport MIDAS SVP";"This instrument comprises a time of flight sound speed sensor, pressure transducer and platinum resistance temperature sensor. It is suitable for rapid profiling down to 6000 metres depth. It can be operated in continuous, burst, trip/profile, conditional or delayed mode. The instrument was formerly known as Model 650 Mk2.";"2012-08-16"
"L22/TOOL0532";"ThermoFinnigan EA 1112 Flash Elemental Analyser";"ThermoF EA 1112";"A laboratory instrument used to determine total carbon, hydrogen, nitrogen, sulphur and oxygen in a sample. The sample is completely and instantaneously oxidised by flash combustion, which converts all organic and inorganic substances into combustion products. The resulting combustion gases pass through a reduction furnace and are swept into the chromatographic column by the helium carrier gas. The gases are separated in the column and detected by the thermal conductivity detector which gives an output signal proportional to the concentration of the individual components of the mixture. ThermoFinnigan is part of Thermo Fisher Scientific.";"2012-08-21"
"L22/TOOL0533";"DTU Nutech GM-25-5A beta Multicounter system";"DTU Nutech GM-25-5A";"A laboratory instrument designed to count beta particles emitted by a sample using the Geiger-Muller principle. A steady gas stream of argon (99%) and isobutene or propane (1%) becomes ionised due to beta particle emission from the sample, and the ionised gas particles are collected within a high voltage field, detected as an electric current pulse and recorded as a counting event. A guard counter allows the removal of the cosmic background radiation signal. The instrument is typically placed inside a lead shielding to reduce the ambient background radiation.";"2012-08-21"
"L22/TOOL0534";"Perkin-Elmer Model 204 Fluorescence Spectrophotometer";"Perkin-Elmer 204 spectrophotometer";"An automatic recording that measures the fluorescence of a sample using a Xenon lamp with full UV/visible range capability. It incorporates two monochromators, and automatic scanning of each over the 200 to 780 nm wavelength range permits the recording of excitation or emission spectra. The instrument can take up to four samples at a time.";"2012-08-22"
